,Model_0,Model_1,Model_2,Model_3,Model_4,Model_5,Model_6,Model_7,Model_8,Model_9,Model_10,Model_11,Model_12,Model_13,Model_14,Model_15,Model_16,Model_17,Model_18,Model_19,Model_20,Model_21,Model_22,Model_23
const,513.0261539691069,291.1231750198736,233.76351694472123,155.24355598011954,133.64506808334804,97.27304198047693,190.5153305375865,-70.38993000606558,-417.20459308456486,-79.10343423352859,23.372202255439376,93.48944509964348,119.37990674657453,228.66146663134674,121.66663823933713,216.07987356469363,278.8967515855867,319.1884428200151,309.6039483896767,506.9977006425073,825.1543433184593,799.7832098371915,611.6322451835348,481.7573383105831
Humidity(%),-9.083787116024638,-4.9110460554884945,-3.0913039662412265,-1.667179296020098,-1.5222636696093261,-1.6919699528262315,-4.323602133178775,-3.9167681562482484,-3.086515747521655,-4.081182527624188,-4.630032374561219,-6.412978393650351,-8.26271510254509,-10.115369039281564,-7.873554915686269,-10.176406761324387,-13.108745830586003,-16.20673902749067,-21.535366978764444,-16.271964377931546,-22.02770683527416,-21.88993378673033,-15.736009426424816,-12.104407426182265
Wind speed (m/s),-9.201633388009604,-20.61459035993326,-6.186097908866865,-12.233986760989836,-2.8107123240091263,-7.3783057571420265,0.022506934491653342,15.722861725753546,16.461191123873974,-19.44808386625291,-10.221051968109403,-23.9637165711861,-16.280245831648045,-20.641750580272863,-22.414547887536813,-20.468885833591596,-24.473034503114434,-12.334925206782279,15.314967711625087,-8.921914319277523,-10.32862176432689,-10.644748249114823,-41.776385751637974,-19.139730952216105
Dew point temperature(C),21.346588015530628,13.213447369887312,8.427035072519397,4.8049280211031,3.457210049941736,4.071096399859551,11.020780177663992,9.810024902003777,3.47745636122516,8.455322785800654,9.65807430745658,12.485959168642529,16.195694692969596,19.70317872630944,15.737149796863985,17.07956414153401,24.07555826878727,30.995645068369996,41.95595805706464,34.028105424818186,44.868635193979486,47.86787210214907,36.97776827317546,27.967036688879325
Solar Radiation (MJ/m2),9.286333130124355e-14,-7.076740823574406e-14,-4.547509758657313e-13,-2.0146690242900797e-14,3.538544303013032e-14,-2.6693118313223374e-14,3616.6554170868144,1201.54894184078,483.79851271309786,183.40748879350468,115.21631417800667,107.6910076659944,107.049738769233,86.29442995074565,129.11454887304,134.90868410678317,147.37885603084572,247.26225534393558,538.0920021002502,1798.7381139639529,9958.42258829758,8.734168133967866e-14,7.357781645810259e-14,-8.043443371453284e-14
Rainfall(mm),-20.335334661900824,-100.57840876286863,-82.31977450259032,-55.528397703487684,-22.746112081477403,-28.538313475593267,-37.42689383815476,-78.1072956538859,-139.4546795567744,-55.85384817710297,-55.83405453856051,-29.720148838086615,-40.21549917916963,-14.351481453563206,-168.02917551895618,-57.05984328410347,-195.62014764822212,-129.03489004865062,-60.23344989054276,-259.6397982891708,-60.639587536144646,-81.95176922767058,-395.4840670532471,-211.8322655108929
Snowfall (cm),21.864614012639006,0.7749295347440395,-6.223762239248064,11.516993943700045,2.191828512277554,1.2046832954070497,2.7631388047220837,-45.88461233758411,-116.42912326927808,-10.300589191112678,-21.35501266773948,-12.388301531615328,-13.282976581772004,-21.204957903405422,-31.706891874361933,-47.11829645299068,-44.20704877248653,-28.498523759536354,11.298871041295392,-5.787129282168031,80.56686879184227,82.58624807836391,12.66834037309178,22.610286846562687
Seasons_Spring,-184.2080310395514,-163.50704308437133,-111.99091007281459,-74.51713354127519,-54.91103078250375,-47.40216328371902,-121.81425244073014,-334.99213633009697,-419.520221885958,-178.40395454934654,-145.30022694164137,-129.83934421636013,-97.26767507424823,-116.74068876027955,-138.37735889757062,-187.46679939605923,-234.17645575252385,-366.6353897485731,-491.1811769260187,-465.30378757484357,-257.3540690231587,-148.54879711362892,-112.92163406807613,-118.20348752192788
Seasons_Summer,14.04924550023577,64.76651688392884,26.88177035074388,48.22872557562838,24.829546498639836,42.00376446163978,-65.39283004334123,-241.37455136809666,-225.483564325714,-128.29076481664393,-126.21383946195775,-169.50419266154466,-244.44047809468955,-334.51364999497997,-362.5430562698005,-361.8189378888313,-455.48970930765046,-538.3922489855252,-680.6058438463784,-586.5708578122484,-441.4215911246537,-16.284738060553195,107.22359489259327,74.07090778034981
Seasons_Winter,-270.2093043507292,-216.66978788155023,-158.14003760274565,-108.2339013375469,-78.44676689662697,-63.558083694324864,-139.48028606437532,-451.28667666436024,-746.5283358299637,-368.6914831548956,-315.41089194490996,-325.47371702580756,-376.2550575991406,-404.1650175922724,-480.97506298854876,-568.3282904553496,-617.1549944594008,-737.9757109084024,-886.2894885497617,-715.9874533351367,-487.28161635755055,-401.83238239779416,-393.4211940724306,-292.3047985392515
Holiday_No Holiday,-15.633003242419662,-35.54069526045585,-40.86458769930271,-29.33786348836699,-22.678520529078277,28.376878025418407,115.89745385984476,293.0948243679927,548.9607178538206,180.88125934405832,37.65722933141541,21.259687093990095,-35.117897462630985,-68.50255395180886,-85.58804513226809,-59.20685899968666,-11.706206692303795,108.2258738638208,413.0491187197465,148.57483939330126,126.55515011165097,169.05257496493044,151.92238585818058,89.28393552931082
Functioning Day_Yes,697.237973625091,577.9017749637217,367.7049099149083,230.80618703188375,149.3629636674471,148.41887853272442,321.3243852445704,800.5289355472546,1304.990925314995,866.5365623660796,747.8264476811881,838.5914541624011,1016.4739860321308,1108.0990932464606,1130.2289629574934,1227.4435120026717,1427.9061459755915,1672.682078693504,2036.2520205957242,1565.6636632845293,1411.8305609523272,1373.6785934647955,1199.274423899838,906.8926259612194
